tid,yr,doy
BK.ETSL.00,2026,185
BK.ETSL.00,2026,186
BK.ETSL.S0,2026,181
BK.ETSL.S0,2026,182
BK.ETSL.S0,2026,183
BK.ETSL.S0,2026,184
BK.ETSL.S0,2026,185
BK.ETSL.S0,2026,186
BK.ETSL.S0,2026,187
BK.ETSL.S0,2026,188
BK.ETSL.S0,2026,189
BK.ETSL.S0,2026,190
BK.ETSL.S0,2026,191
BK.ETSL.S0,2026,192
BK.ETSL.S0,2026,193
BK.ETSL.S0,2026,194
BK.ETSL.S0,2026,195
BK.ETSL.S0,2026,196
BK.FORD.00,2026,182
BK.FORD.00,2026,183
BK.FORD.00,2026,184
BK.FORD.00,2026,185
BK.FORD.00,2026,186
BK.GALB.00,2026,182
BK.GALB.00,2026,183
BK.GALB.00,2026,184
BK.GALB.00,2026,185
BK.GALB.00,2026,186
BK.GALB.S0,2026,181
BK.GALB.S0,2026,182
BK.GALB.S0,2026,183
BK.GALB.S0,2026,184
BK.GALB.S0,2026,185
BK.GALB.S0,2026,186
BK.GALB.S0,2026,187
BK.GALB.S0,2026,188
BK.GALB.S0,2026,189
BK.GALB.S0,2026,190
BK.GALB.S0,2026,193
BK.GALB.S0,2026,194
BK.GALB.S0,2026,195
BK.GALB.S0,2026,196
BK.GASB.,2026,181
BK.GASB.,2026,182
BK.GASB.,2026,183
BK.GASB.,2026,184
BK.GASB.,2026,185
BK.GASB.,2026,186
BK.GASB.,2026,187
BK.GASB.,2026,188
BK.GASB.,2026,189
BK.GASB.,2026,190
BK.GASB.,2026,191
BK.GASB.,2026,192
BK.GASB.,2026,193
BK.GASB.,2026,194
BK.GASB.,2026,195
BK.GASB.,2026,196
BK.GASB.00,2026,182
BK.GASB.00,2026,183
BK.GASB.00,2026,184
BK.GASB.00,2026,185
BK.GASB.00,2026,186
BK.GCKB.00,2026,182
BK.GCKB.00,2026,183
BK.GCKB.00,2026,184
BK.GCKB.00,2026,185
BK.GCKB.00,2026,186
BK.GCKB.S0,2026,181
BK.GCKB.S0,2026,182
BK.GCKB.S0,2026,183
BK.GCKB.S0,2026,184
BK.GCKB.S0,2026,185
BK.GCKB.S0,2026,186
BK.GCKB.S0,2026,187
BK.GCKB.S0,2026,188
BK.GCKB.S0,2026,189
BK.GCKB.S0,2026,190
BK.GCKB.S0,2026,191
BK.GCKB.S0,2026,192
BK.GCKB.S0,2026,193
BK.GCKB.S0,2026,194
BK.GCKB.S0,2026,195
BK.GCKB.S0,2026,196
BK.GHOP.00,2026,182
BK.GHOP.00,2026,183
BK.GHOP.00,2026,184
BK.GHOP.00,2026,185
BK.GHOP.00,2026,186
BK.GHOP.S0,2026,181
BK.GHOP.S0,2026,182
BK.GHOP.S0,2026,183
BK.GHOP.S0,2026,184
BK.GHOP.S0,2026,185
BK.GHOP.S0,2026,186
BK.GHOP.S0,2026,187
BK.GHOP.S0,2026,188
