shard_id,basis,files,survivors,planned,with_picks,recorded,lost
2026141-2026161-99331a372632,plan up to the resumed attempt's first day (progress overwritten),5,1,180,144,107,140
2026021-2026041-c00a2d4c07af,plan up to the resumed attempt's first day (progress overwritten),16,10,518,572,220,135
2026061-2026081-9f9d65a4b473,plan up to the resumed attempt's first day (progress overwritten),12,10,540,459,60,135
2026001-2026021-ca7d97013b02,plan up to the resumed attempt's first day (progress overwritten),3,1,182,119,80,132
2026201-2026221-0cdab59195f4,plan up to the resumed attempt's first day (progress overwritten),4,1,180,152,120,132
2026241-2026251-5cc92797bd7f,plan up to the resumed attempt's first day (progress overwritten),7,3,259,227,128,129
2026201-2026221-ff8ce15b7d1c,plan up to the resumed attempt's first day (progress overwritten),4,1,165,102,80,123
2026021-2026041-d7704cfc0b18,plan up to the resumed attempt's first day (progress overwritten),7,4,276,269,115,114
2026201-2026221-308454d5a2f0,plan up to the resumed attempt's first day (progress overwritten),12,6,348,415,200,113
2026101-2026121-18cd1efb8bd8,plan up to the resumed attempt's first day (progress overwritten),10,8,408,379,78,98
2026181-2026201-8e62a93876d8,plan up to the resumed attempt's first day (progress overwritten),7,1,120,230,220,95
2026141-2026161-7bfda43f5d9d,plan up to the resumed attempt's first day (progress overwritten),18,11,546,676,251,95
2026141-2026161-4a34591bc96e,plan up to the resumed attempt's first day (progress overwritten),17,6,333,633,400,91
2026041-2026061-308b8a20471e,plan up to the resumed attempt's first day (progress overwritten),5,1,90,139,108,88
2026181-2026201-0686b0660dcb,plan up to the resumed attempt's first day (progress overwritten),18,16,741,696,60,82
2026141-2026161-18de31299098,plan up to the resumed attempt's first day (progress overwritten),19,9,440,682,330,79
2026241-2026251-e9d8437ac01d,plan up to the resumed attempt's first day (progress overwritten),4,1,120,109,81,78
2026141-2026161-78c4b4d04a7d,plan up to the resumed attempt's first day (progress overwritten),11,6,312,399,180,77
2026181-2026201-72db85c98b93,plan up to the resumed attempt's first day (progress overwritten),3,1,81,60,60,71
2026181-2026201-4c53fed71fc4,plan up to the resumed attempt's first day (progress overwritten),4,1,78,107,100,69
2026081-2026101-33299c7aa06a,plan up to the resumed attempt's first day (progress overwritten),14,5,270,500,300,67
2026241-2026251-d95ee058b95f,plan up to the resumed attempt's first day (progress overwritten),4,2,150,131,64,65
2026181-2026201-c695f7c5b9b9,plan up to the resumed attempt's first day (progress overwritten),8,1,84,275,260,64
2026121-2026141-f3b7c33dd6a0,progress (first attempt),9,8,360,310,8,58
2026001-2026021-93b030ef8605,progress (first attempt),11,10,440,403,20,57
2026101-2026121-fc9069ec83f9,progress (first attempt),5,4,200,163,20,55
2026241-2026251-ca28d4e6ecdd,plan up to the resumed attempt's first day (progress overwritten),4,1,104,128,90,54
2026161-2026181-875dbf3525c9,progress (first attempt),9,8,360,328,20,52
2026241-2026251-f7240a3517c3,plan up to the resumed attempt's first day (progress overwritten),3,1,90,88,58,50
2026241-2026251-9a3c3cbd7ee7,plan up to the resumed attempt's first day (progress overwritten),7,1,90,230,190,49
2026201-2026221-86ad29ec0e37,progress (first attempt),9,8,320,297,20,43
2026081-2026101-dcd820564885,plan up to the resumed attempt's first day (progress overwritten),12,6,275,425,210,41
2026161-2026181-aa00de75f07c,progress (first attempt),9,8,360,354,35,41
2026001-2026021-bb138c3282f6,progress (first attempt),6,5,240,220,20,40
2026101-2026121-6cb1b9094f0f,progress (first attempt),7,6,280,270,30,40
2026101-2026121-405e106790fb,progress (first attempt),6,5,240,220,20,40
2026041-2026061-8771eba98c8c,progress (first attempt),7,5,240,220,20,40
2026041-2026061-dd2a1d63388d,progress (first attempt),2,0,40,20,20,40
2026181-2026201-d1a34f0b0da1,progress (first attempt),2,1,40,20,20,37
2026201-2026221-3765ea3827b6,progress (first attempt),14,13,520,504,20,36
2026081-2026101-af197e88bb4e,progress (first attempt),6,5,200,183,20,34
2026181-2026201-546df1214c84,progress (first attempt),15,14,560,539,10,30
2026021-2026041-907e815281fe,progress (first attempt),6,5,200,207,37,30
2026181-2026201-2d1d234b88eb,plan up to the resumed attempt's first day (progress overwritten),12,1,56,449,440,24
2026141-2026161-080886c9ad2e,progress (first attempt),9,8,320,315,20,23
2026241-2026251-d89c675acab0,progress (first attempt),2,1,40,38,20,22
2026241-2026251-2360d1e3ef99,progress (first attempt),2,1,40,45,29,20
2026141-2026161-9ed7ed04738c,plan up to the resumed attempt's first day (progress overwritten),6,2,31,222,160,15
2026181-2026201-fea851fb45f4,progress (first attempt),14,13,520,527,20,13
2026021-2026041-949e93656ac9,plan up to the resumed attempt's first day (progress overwritten),6,2,25,200,126,11
2026041-2026061-115b1b520a2a,plan up to the resumed attempt's first day (progress overwritten),4,1,17,119,79,8
2026081-2026101-4bee625ab606,plan up to the resumed attempt's first day (progress overwritten),11,1,37,394,372,3
2026101-2026121-34a2f6690324,plan up to the resumed attempt's first day (progress overwritten),9,4,30,340,180,3
2026041-2026061-da323602de00,plan up to the resumed attempt's first day (progress overwritten),11,2,37,328,318,3
2026021-2026041-7d4dc7f46361,plan up to the resumed attempt's first day (progress overwritten),14,8,40,531,239,2
2026201-2026221-5f023cb5567d,plan up to the resumed attempt's first day (progress overwritten),8,4,20,285,140,1
2026201-2026221-1f2799734556,plan up to the resumed attempt's first day (progress overwritten),9,5,24,315,160,0
2026161-2026181-61d9af115bf4,plan up to the resumed attempt's first day (progress overwritten),7,2,24,270,200,0
