shard_id,basis,files,survivors,planned,with_picks,recorded,lost
2023313-2023333-132779f8e71c,plan up to the resumed attempt's first day (progress overwritten),5,3,416,147,60,308
2011156-2011176-91d350317f99,plan up to the resumed attempt's first day (progress overwritten),3,1,350,92,68,307
2025122-2025142-9129181439ec,plan up to the resumed attempt's first day (progress overwritten),21,15,512,278,78,306
2012211-2012231-1906a67a62e3,plan up to the resumed attempt's first day (progress overwritten),6,4,448,184,60,306
2022358-2023013-76f5ba5c8053,plan up to the resumed attempt's first day (progress overwritten),11,7,570,395,142,305
2018259-2018279-72e76828c152,plan up to the resumed attempt's first day (progress overwritten),5,1,352,150,111,304
2019014-2019034-3aec36dac654,plan up to the resumed attempt's first day (progress overwritten),5,2,390,140,78,304
2016270-2016290-b308f43864f3,plan up to the resumed attempt's first day (progress overwritten),4,2,350,93,52,304
2016150-2016170-a544d74650ce,plan up to the resumed attempt's first day (progress overwritten),4,3,416,144,40,304
2022098-2022118-8df1fb10b4c8,plan up to the resumed attempt's first day (progress overwritten),8,1,324,133,122,304
2023173-2023193-a420a7d65952,plan up to the resumed attempt's first day (progress overwritten),21,15,493,234,59,303
2022218-2022238-63515f1b579e,plan up to the resumed attempt's first day (progress overwritten),4,1,351,136,101,303
2023173-2023193-1bdb5f98a032,plan up to the resumed attempt's first day (progress overwritten),10,6,392,166,79,303
2025282-2025302-97a34435ceda,plan up to the resumed attempt's first day (progress overwritten),6,4,476,220,60,301
2012091-2012111-f420b228cfa7,plan up to the resumed attempt's first day (progress overwritten),10,3,420,359,260,301
2022358-2023013-2ea98c150629,plan up to the resumed attempt's first day (progress overwritten),13,7,434,224,102,300
2010061-2010081-149dec94c8af,plan up to the resumed attempt's first day (progress overwritten),4,2,391,113,44,300
2017004-2017024-ec0c0cb47160,plan up to the resumed attempt's first day (progress overwritten),12,7,585,441,171,300
2014120-2014140-65a041f98378,plan up to the resumed attempt's first day (progress overwritten),11,1,360,434,400,300
2015015-2015035-8bd63f4a0b72,plan up to the resumed attempt's first day (progress overwritten),19,5,396,303,230,300
2012031-2012051-ed969141755d,plan up to the resumed attempt's first day (progress overwritten),10,2,374,371,300,299
2023293-2023313-51941abf7b71,plan up to the resumed attempt's first day (progress overwritten),6,4,435,190,60,299
2017024-2017044-f0fde1d85b9a,plan up to the resumed attempt's first day (progress overwritten),5,3,390,150,64,298
2025102-2025122-a1d86a43280e,plan up to the resumed attempt's first day (progress overwritten),24,18,544,297,57,298
2023133-2023153-9602ba62439a,plan up to the resumed attempt's first day (progress overwritten),16,3,352,276,228,298
2012331-2012351-8a8c547c9d13,plan up to the resumed attempt's first day (progress overwritten),13,5,480,469,300,298
2014260-2014280-dd7960d6147d,plan up to the resumed attempt's first day (progress overwritten),21,7,385,219,140,297
2025282-2025302-8fbe9e41fcbc,plan up to the resumed attempt's first day (progress overwritten),30,18,540,374,143,297
2014260-2014280-aae2b9be52de,plan up to the resumed attempt's first day (progress overwritten),8,6,510,258,54,297
2012131-2012151-b685e127aff8,plan up to the resumed attempt's first day (progress overwritten),10,4,455,368,220,297
2018139-2018159-7ce8bf95d6dc,plan up to the resumed attempt's first day (progress overwritten),3,2,378,112,40,297
2012251-2012271-454662b821c0,plan up to the resumed attempt's first day (progress overwritten),10,3,420,389,280,296
2018059-2018079-5b64626767af,plan up to the resumed attempt's first day (progress overwritten),4,1,308,111,100,296
2021243-2021263-dc26eb6623c7,plan up to the resumed attempt's first day (progress overwritten),5,1,315,173,160,296
2012191-2012211-f20aa5008712,plan up to the resumed attempt's first day (progress overwritten),10,3,420,389,280,296
2017264-2017284-3dc5a62794d6,plan up to the resumed attempt's first day (progress overwritten),5,3,392,149,60,296
2021343-2021363-15095f1769dc,plan up to the resumed attempt's first day (progress overwritten),12,6,560,475,236,296
2011176-2011196-e28a1c0bf394,plan up to the resumed attempt's first day (progress overwritten),4,2,364,138,80,296
2012291-2012311-b3ab94574301,plan up to the resumed attempt's first day (progress overwritten),8,1,306,113,120,295
2024168-2024188-958857ff84b6,plan up to the resumed attempt's first day (progress overwritten),7,5,496,253,59,295
2024348-2025002-769713c877a5,plan up to the resumed attempt's first day (progress overwritten),8,5,462,274,80,294
2023253-2023273-87ecdcb83b20,plan up to the resumed attempt's first day (progress overwritten),4,1,338,125,100,294
2019114-2019134-fc14342d2bad,plan up to the resumed attempt's first day (progress overwritten),36,30,684,414,45,294
2022338-2022358-02cbd5a7ce4a,plan up to the resumed attempt's first day (progress overwritten),4,1,338,129,99,293
2021003-2021023-0365810d331a,plan up to the resumed attempt's first day (progress overwritten),4,2,384,132,52,293
2024148-2024168-11d481aa25a0,plan up to the resumed attempt's first day (progress overwritten),33,24,576,383,103,292
2024268-2024288-ffabaf01516a,plan up to the resumed attempt's first day (progress overwritten),23,17,510,269,57,292
2024128-2024148-905f462a7c73,plan up to the resumed attempt's first day (progress overwritten),6,3,420,207,99,292
2024188-2024208-c92549e19bd3,plan up to the resumed attempt's first day (progress overwritten),21,18,540,280,40,292
