tid,yr,doy
2F.TB025.,2019,65
2F.TB025.,2019,66
2F.TB025.,2019,94
2F.TB025.,2019,95
2F.TB025.,2019,96
2F.TB025.,2019,97
2F.TB025.,2019,98
2F.TB025.,2019,99
2F.TB026.,2019,60
2F.TB026.,2019,61
2F.TB026.,2019,62
2F.TB026.,2019,63
2F.TB026.,2019,64
2F.TB026.,2019,65
2F.TB026.,2019,94
2F.TB026.,2019,95
2F.TB026.,2019,96
2F.TB026.,2019,97
2F.TB026.,2019,98
2F.TB027.,2019,60
2F.TB027.,2019,61
2F.TB027.,2019,62
2F.TB027.,2019,63
2F.TB027.,2019,64
2F.TB027.,2019,65
2F.TB027.,2019,94
2F.TB027.,2019,95
2F.TB027.,2019,96
2F.TB027.,2019,97
2F.TB027.,2019,98
2F.TB028.,2019,60
2F.TB028.,2019,61
2F.TB028.,2019,62
2F.TB028.,2019,63
2F.TB028.,2019,64
2F.TB028.,2019,65
2F.TB028.,2019,94
2F.TB028.,2019,95
2F.TB028.,2019,96
2F.TB028.,2019,97
2F.TB028.,2019,98
2F.TB029.,2019,60
2F.TB029.,2019,61
2F.TB029.,2019,62
2F.TB029.,2019,63
2F.TB029.,2019,64
2F.TB029.,2019,65
2F.TB029.,2019,94
2F.TB029.,2019,95
2F.TB029.,2019,96
2F.TB029.,2019,97
2F.TB029.,2019,98
2F.TB030.,2019,60
2F.TB030.,2019,61
2F.TB030.,2019,62
2F.TB030.,2019,63
2F.TB030.,2019,64
2F.TB030.,2019,65
2F.TB030.,2019,94
2F.TB030.,2019,95
2F.TB030.,2019,96
2F.TB030.,2019,97
2F.TB030.,2019,98
2F.TB032.,2019,60
2F.TB032.,2019,61
2F.TB032.,2019,62
2F.TB032.,2019,63
2F.TB032.,2019,64
2F.TB032.,2019,65
2F.TB032.,2019,94
2F.TB032.,2019,95
2F.TB032.,2019,96
2F.TB032.,2019,97
2F.TB032.,2019,98
3A.L002.,2010,182
3A.L002.,2010,183
3A.L002.,2010,184
3A.L003.,2010,182
3A.L003.,2010,183
3A.L003.,2010,184
3A.L005.,2010,182
3A.L005.,2010,183
3A.L005.,2010,184
3A.L006.,2010,182
3A.L006.,2010,183
3A.L006.,2010,184
3A.L008.,2010,182
3A.L008.,2010,183
3A.L009.,2010,182
3A.L009.,2010,183
3A.L101.,2010,182
3A.L101.,2010,183
3A.L103.,2010,182
3A.L103.,2010,183
3A.L104.,2010,182
3A.L104.,2010,183
3A.L105.,2010,182
3A.L105.,2010,183
3A.L106.,2010,182
3A.L106.,2010,183
3A.L107.,2010,182
3A.L107.,2010,183
7A.ADAO.,2015,215
7A.ADAO.,2015,216
7A.ADAO.,2015,217
7A.ADAO.,2015,218
7A.ADAO.,2015,255
7A.ADAO.,2015,256
7A.ADAO.,2015,257
7A.ADAO.,2015,258
7A.ADAO.,2015,275
7A.ADAO.,2015,276
7A.ADAO.,2015,277
7A.ADAO.,2015,278
7A.ADAO.,2015,279
7A.ADAO.,2015,280
7A.ADAO.,2015,281
7A.ADAO.,2015,282
7A.ALMA.,2015,32
7A.ALMA.,2015,60
7A.ALMA.,2015,215
