shard_id,basis,files,survivors,planned,with_picks,recorded,lost
2019114-2019134-25796806047d,progress (first attempt),14,12,240,241,26,25
2014120-2014140-92db887de9b4,plan up to the resumed attempt's first day (progress overwritten),11,1,50,422,400,24
2014300-2014320-89bcd1c36a38,plan up to the resumed attempt's first day (progress overwritten),3,1,54,82,58,24
2014180-2014200-440506dbc39e,plan up to the resumed attempt's first day (progress overwritten),6,1,48,202,180,22
2014020-2014040-5f7d9e6738a0,plan up to the resumed attempt's first day (progress overwritten),6,4,168,212,80,22
2013325-2013345-3c94e84880a5,plan up to the resumed attempt's first day (progress overwritten),7,6,252,259,40,20
2018299-2018319-3971f13e7dda,plan up to the resumed attempt's first day (progress overwritten),9,3,133,347,240,20
2014300-2014320-a7a7502529c0,progress (first attempt),2,1,40,48,28,20
2015235-2015255-4d9acdb19dd0,plan up to the resumed attempt's first day (progress overwritten),4,2,99,145,73,19
2018079-2018099-e129d66a48cb,plan up to the resumed attempt's first day (progress overwritten),10,3,31,155,124,17
2013145-2013165-ac03bcba9e2a,progress (first attempt),4,3,120,135,32,17
2012231-2012251-8d523f5c2ca2,progress (first attempt),2,1,40,56,32,16
2016330-2016350-5b3ccda1404a,progress (first attempt),3,2,80,83,16,13
2014020-2014040-1c8fd802e867,progress (first attempt),5,4,160,168,20,12
2013045-2013065-de7f0b7d0031,plan up to the resumed attempt's first day (progress overwritten),9,8,324,351,40,9
2014260-2014280-9e3611f4237a,plan up to the resumed attempt's first day (progress overwritten),4,3,128,152,40,8
2014200-2014220-a77478b05ba1,plan up to the resumed attempt's first day (progress overwritten),6,4,168,232,80,7
2010141-2010161-84a8e57a65f8,progress (first attempt),2,1,40,53,20,7
2015055-2015075-54745c5f4126,plan up to the resumed attempt's first day (progress overwritten),4,1,42,134,100,5
2015015-2015035-878a0c14d57c,progress (first attempt),4,3,120,132,17,5
2019014-2019034-ef28bd6eff3e,plan up to the resumed attempt's first day (progress overwritten),11,10,418,436,40,4
2013265-2013285-112c4f9d2d38,progress (first attempt),8,7,280,312,35,3
2014140-2014160-e38b93e5b744,plan up to the resumed attempt's first day (progress overwritten),16,4,39,586,427,1
2014300-2014320-e31a5318f25b,plan up to the resumed attempt's first day (progress overwritten),20,1,38,700,700,0
2013065-2013085-7a721190944f,plan up to the resumed attempt's first day (progress overwritten),6,3,18,240,120,0
