shard_id,prog_worker,comp_worker,checkpointed_records,manifest_records,station_days,picks_record,surviving_files_not_in_manifest,manifest_files,records_not_in_manifest,records_without_picks_anywhere
2016010-2016030-57b41d46e6c9,ip-172-31-30-126.us-east-2.compute.internal:14,ip-172-31-29-24.us-east-2.compute.internal:14,200,20,240,20,4,1,200,40
2015195-2015215-748b34e25644,ip-172-31-23-165.us-east-2.compute.internal:15,ip-172-31-42-175.us-east-2.compute.internal:15,120,37,480,37,2,2,120,40
2015195-2015215-58b7af15de78,ip-172-31-16-142.us-east-2.compute.internal:15,ip-172-31-9-61.us-east-2.compute.internal:15,160,39,520,39,3,2,160,40
2015095-2015115-c243f306166c,ip-172-31-16-206.us-east-2.compute.internal:15,ip-172-31-8-13.us-east-2.compute.internal:15,80,38,440,38,1,1,80,40
2014160-2014180-9a5e6bbbdbcd,ip-172-31-45-133.us-east-2.compute.internal:14,ip-172-31-21-149.us-east-2.compute.internal:14,40,23,338,23,0,1,40,40
2014060-2014080-d50e72db2ca8,ip-172-31-23-206.us-east-2.compute.internal:16,ip-172-31-32-109.us-east-2.compute.internal:16,40,29,460,29,0,1,40,40
2013305-2013325-324a6d7826a3,ip-172-31-34-9.us-east-2.compute.internal:15,ip-172-31-38-136.us-east-2.compute.internal:17,40,20,60,20,0,1,40,40
2013245-2013265-302c087c37f2,ip-172-31-25-63.us-east-2.compute.internal:15,ip-172-31-38-178.us-east-2.compute.internal:15,40,20,80,20,0,1,40,40
2013185-2013205-31e48a7a10eb,ip-172-31-26-140.us-east-2.compute.internal:16,ip-172-31-14-189.us-east-2.compute.internal:16,160,20,180,20,3,1,160,40
2013165-2013185-5bd728b5168f,ip-172-31-18-239.us-east-2.compute.internal:17,ip-172-31-47-217.us-east-2.compute.internal:17,40,20,60,20,0,2,40,40
2012351-2013005-bb6b7d3c6d2d,ip-172-31-46-138.us-east-2.compute.internal:16,ip-172-31-14-255.us-east-2.compute.internal:15,160,32,240,32,3,1,160,40
2012131-2012151-60c523e0d822,ip-172-31-20-159.us-east-2.compute.internal:14,ip-172-31-25-124.us-east-2.compute.internal:14,200,20,220,20,4,1,200,40
2016190-2016210-e05cbbfb0bb5,ip-172-31-0-14.us-east-2.compute.internal:15,ip-172-31-45-162.us-east-2.compute.internal:14,240,33,314,33,10,2,240,40
2012011-2012031-9a40568f2597,ip-172-31-25-7.us-east-2.compute.internal:14,ip-172-31-27-222.us-east-2.compute.internal:14,40,20,280,20,0,1,40,40
2011356-2012011-c94631f40686,ip-172-31-40-230.us-east-2.compute.internal:17,ip-172-31-45-120.us-east-2.compute.internal:17,80,10,180,10,1,1,80,40
2011336-2011356-6b3e77218c35,ip-172-31-27-83.us-east-2.compute.internal:17,ip-172-31-36-184.us-east-2.compute.internal:17,40,20,60,20,0,1,40,40
2011276-2011296-c0591bc479f3,ip-172-31-4-27.us-east-2.compute.internal:14,ip-172-31-35-215.us-east-2.compute.internal:14,40,20,140,20,0,1,40,40
2011256-2011276-646d461c0888,ip-172-31-5-147.us-east-2.compute.internal:14,ip-172-31-37-186.us-east-2.compute.internal:14,40,20,60,20,0,2,40,40
2011216-2011236-79d18122bc44,ip-172-31-24-128.us-east-2.compute.internal:14,ip-172-31-32-219.us-east-2.compute.internal:14,40,20,60,20,0,1,40,40
2011216-2011236-64c56b91a14d,ip-172-31-16-209.us-east-2.compute.internal:14,ip-172-31-45-162.us-east-2.compute.internal:13,200,20,220,20,4,1,200,40
2011196-2011216-426f0fb26296,ip-172-31-15-91.us-east-2.compute.internal:14,ip-172-31-35-78.us-east-2.compute.internal:14,40,20,60,20,0,2,40,40
2011136-2011156-4a6ebf9fa01b,ip-172-31-9-142.us-east-2.compute.internal:15,ip-172-31-6-104.us-east-2.compute.internal:15,40,20,360,20,0,2,40,40
2011076-2011096-3ca0fcda832e,ip-172-31-11-159.us-east-2.compute.internal:14,ip-172-31-28-234.us-east-2.compute.internal:14,40,20,140,20,0,2,40,40
2011016-2011036-8bba26ee96e7,ip-172-31-43-168.us-east-2.compute.internal:16,ip-172-31-4-92.us-east-2.compute.internal:16,120,39,700,39,4,4,120,40
2010301-2010321-9909365a6588,ip-172-31-5-217.us-east-2.compute.internal:16,ip-172-31-46-42.us-east-2.compute.internal:16,200,20,280,20,5,1,200,40
2016070-2016090-5e2512c1220a,ip-172-31-14-7.us-east-2.compute.internal:16,ip-172-31-44-255.us-east-2.compute.internal:14,40,20,554,20,0,1,40,40
2025362-2026002-d4e8791bd94c,ip-172-31-17-137.us-east-2.compute.internal:14,ip-172-31-8-36.us-east-2.compute.internal:14,40,34,160,34,0,2,40,40
2016250-2016270-a047c23a8a8d,ip-172-31-24-198.us-east-2.compute.internal:16,ip-172-31-9-190.us-east-2.compute.internal:16,320,20,360,20,14,2,320,40
2017224-2017244-24d4e4f5bbf1,ip-172-31-30-126.us-east-2.compute.internal:15,ip-172-31-5-78.us-east-2.compute.internal:15,40,27,560,27,0,1,40,40
2016290-2016310-bc1c3f3985e7,ip-172-31-21-218.us-east-2.compute.internal:14,ip-172-31-33-189.us-east-2.compute.internal:14,40,34,360,34,0,2,40,40
2017084-2017104-af367d228876,ip-172-31-30-206.us-east-2.compute.internal:14,ip-172-31-16-229.us-east-2.compute.internal:15,320,35,400,35,15,2,320,39
2022218-2022238-36be48bd354f,ip-172-31-27-239.us-east-2.compute.internal:15,ip-172-31-1-40.us-east-2.compute.internal:15,400,20,444,20,19,1,400,39
2017364-2018019-08bca01b2f61,ip-172-31-29-241.us-east-2.compute.internal:15,ip-172-31-41-90.us-east-2.compute.internal:15,240,18,640,18,6,1,240,39
2022258-2022278-5959e853d267,ip-172-31-10-248.us-east-2.compute.internal:16,ip-172-31-34-239.us-east-2.compute.internal:16,200,19,420,19,5,1,200,39
2022358-2023013-4e01c2861dd5,ip-172-31-14-29.us-east-2.compute.internal:14,ip-172-31-32-30.us-east-2.compute.internal:14,200,38,600,38,5,1,200,39
2019334-2019354-20f256a1b893,ip-172-31-29-32.us-east-2.compute.internal:17,ip-172-31-20-211.us-east-2.compute.internal:17,40,26,440,26,1,1,40,38
2016170-2016190-728ad2ebdb92,ip-172-31-42-212.us-east-2.compute.internal:14,ip-172-31-32-32.us-east-2.compute.internal:14,120,7,480,7,3,1,120,38
2021323-2021343-ba3a5cccfef1,ip-172-31-34-88.us-east-2.compute.internal:14,ip-172-31-8-13.us-east-2.compute.internal:14,200,20,600,20,5,1,200,38
2016290-2016310-073d1afe7a80,ip-172-31-39-158.us-east-2.compute.internal:17,ip-172-31-46-138.us-east-2.compute.internal:17,240,20,260,20,6,1,240,38
2025082-2025102-0c0c2d1a872b,ip-172-31-36-176.us-east-2.compute.internal:15,ip-172-31-22-203.us-east-2.compute.internal:15,280,20,560,20,7,1,280,37
2025102-2025122-fe47b71c1789,ip-172-31-46-121.us-east-2.compute.internal:17,ip-172-31-13-111.us-east-2.compute.internal:17,200,35,540,35,13,4,200,37
2018359-2019014-90b2f8d6b6a8,ip-172-31-5-97.us-east-2.compute.internal:16,ip-172-31-32-227.us-east-2.compute.internal:16,480,11,720,11,31,3,480,37
2018239-2018259-1b84bbcff410,ip-172-31-19-86.us-east-2.compute.internal:16,ip-172-31-43-111.us-east-2.compute.internal:16,200,20,343,20,5,1,200,36
2018259-2018279-a51f0f6d5443,ip-172-31-9-239.us-east-2.compute.internal:15,ip-172-31-33-163.us-east-2.compute.internal:17,160,28,560,28,8,2,160,36
2022058-2022078-f45b83ddb134,ip-172-31-18-151.us-east-2.compute.internal:16,ip-172-31-6-123.us-east-2.compute.internal:15,40,3,460,3,1,1,40,36
2019014-2019034-de138736d81c,ip-172-31-25-25.us-east-2.compute.internal:17,ip-172-31-25-122.us-east-2.compute.internal:17,200,20,360,20,5,1,200,36
2024108-2024128-43fa2797c9dd,ip-172-31-37-186.us-east-2.compute.internal:15,ip-172-31-30-245.us-east-2.compute.internal:15,760,31,800,31,19,1,760,35
2017024-2017044-a071febe9c25,ip-172-31-45-168.us-east-2.compute.internal:16,ip-172-31-38-7.us-east-2.compute.internal:15,240,33,460,33,6,1,240,35
2012291-2012311-b8d6b525b526,ip-172-31-38-105.us-east-2.compute.internal:15,ip-172-31-47-189.us-east-2.compute.internal:15,200,20,420,20,5,1,200,35
2013025-2013045-6ff11fef9262,ip-172-31-36-51.us-east-2.compute.internal:15,ip-172-31-27-77.us-east-2.compute.internal:14,80,20,340,20,2,1,80,35
2012031-2012051-a68ed032893e,ip-172-31-12-194.us-east-2.compute.internal:15,ip-172-31-36-176.us-east-2.compute.internal:15,80,15,360,15,2,1,80,35
2023233-2023253-9f7b0c8d1d27,ip-172-31-25-77.us-east-2.compute.internal:17,ip-172-31-4-189.us-east-2.compute.internal:16,280,20,580,20,19,3,280,35
2012031-2012051-12d4cd7fd163,ip-172-31-16-61.us-east-2.compute.internal:17,ip-172-31-35-198.us-east-2.compute.internal:17,80,20,320,20,2,1,80,35
2015055-2015075-0b9508a1d8c4,ip-172-31-35-206.us-east-2.compute.internal:14,ip-172-31-40-154.us-east-2.compute.internal:14,160,36,199,36,4,1,160,34
2017104-2017124-c341b3e679c9,ip-172-31-20-234.us-east-2.compute.internal:15,ip-172-31-31-137.us-east-2.compute.internal:15,200,20,560,20,5,1,200,34
2022298-2022318-e3f0af4079cc,ip-172-31-18-207.us-east-2.compute.internal:14,ip-172-31-47-189.us-east-2.compute.internal:15,280,16,300,16,7,1,280,34
2012051-2012071-684e2b3d8d54,ip-172-31-17-100.us-east-2.compute.internal:17,ip-172-31-2-223.us-east-2.compute.internal:17,80,20,320,20,2,1,80,34
2022078-2022098-be9d42126dc7,ip-172-31-14-94.us-east-2.compute.internal:17,ip-172-31-27-13.us-east-2.compute.internal:16,360,31,520,31,18,2,360,33
2018359-2019014-10896c03f7f6,ip-172-31-47-159.us-east-2.compute.internal:16,ip-172-31-10-190.us-east-2.compute.internal:16,120,23,540,23,6,1,120,33
2014180-2014200-200184a59d3b,ip-172-31-35-215.us-east-2.compute.internal:16,ip-172-31-36-42.us-east-2.compute.internal:16,240,20,480,20,6,1,240,33
2012271-2012291-f6931bd0611c,ip-172-31-10-45.us-east-2.compute.internal:16,ip-172-31-10-200.us-east-2.compute.internal:17,240,33,280,33,6,1,240,33
2012151-2012171-4383474e44be,ip-172-31-28-174.us-east-2.compute.internal:15,ip-172-31-13-111.us-east-2.compute.internal:15,120,17,380,17,3,1,120,32
2011356-2012011-3ec15e8323a3,ip-172-31-26-133.us-east-2.compute.internal:17,ip-172-31-19-56.us-east-2.compute.internal:17,80,20,320,20,2,1,80,32
2014240-2014260-3be33a01d0cd,ip-172-31-28-148.us-east-2.compute.internal:17,ip-172-31-44-67.us-east-2.compute.internal:17,40,20,60,20,1,1,40,32
2025302-2025322-d2b0e6203c98,ip-172-31-1-169.us-east-2.compute.internal:16,ip-172-31-1-95.us-east-2.compute.internal:15,760,26,800,26,19,1,760,31
2025302-2025322-252f720fd040,ip-172-31-42-110.us-east-2.compute.internal:15,ip-172-31-10-45.us-east-2.compute.internal:15,320,16,620,16,8,1,320,31
2016290-2016310-322f3e2e1cbd,ip-172-31-28-215.us-east-2.compute.internal:16,ip-172-31-25-62.us-east-2.compute.internal:16,320,37,362,37,16,2,320,31
2014080-2014100-3edcdb1df1a3,ip-172-31-4-243.us-east-2.compute.internal:16,ip-172-31-20-59.us-east-2.compute.internal:16,480,16,720,16,28,3,480,31
2024088-2024108-0590aceb6c0d,ip-172-31-7-213.us-east-2.compute.internal:16,ip-172-31-38-235.us-east-2.compute.internal:16,480,25,720,25,35,3,480,31
2024168-2024188-ffea12aece50,ip-172-31-36-173.us-east-2.compute.internal:16,ip-172-31-39-9.us-east-2.compute.internal:14,760,15,800,15,19,1,760,31
2020329-2020349-ea5360f11a6a,ip-172-31-44-221.us-east-2.compute.internal:16,ip-172-31-20-58.us-east-2.compute.internal:17,320,20,520,20,15,2,320,30
2017144-2017164-64d9c723036b,ip-172-31-28-121.us-east-2.compute.internal:16,ip-172-31-38-91.us-east-2.compute.internal:13,120,20,380,20,3,1,120,30
2016090-2016110-2bf797fe6bcf,ip-172-31-39-239.us-east-2.compute.internal:16,ip-172-31-38-233.us-east-2.compute.internal:16,80,20,240,20,4,2,80,30
2023293-2023313-83fc2fa6362a,ip-172-31-39-39.us-east-2.compute.internal:17,ip-172-31-23-110.us-east-2.compute.internal:17,240,20,520,20,6,1,240,30
2021023-2021043-286f5fea9ebc,ip-172-31-29-109.us-east-2.compute.internal:16,ip-172-31-43-239.us-east-2.compute.internal:16,480,16,720,16,34,3,480,29
2017304-2017324-7b51e1962a74,ip-172-31-15-248.us-east-2.compute.internal:17,ip-172-31-32-56.us-east-2.compute.internal:16,600,35,760,35,15,1,600,29
2019334-2019354-44641865a881,ip-172-31-16-142.us-east-2.compute.internal:14,ip-172-31-39-206.us-east-2.compute.internal:14,200,38,280,38,5,1,200,29
2010201-2010221-10ed7ad81776,ip-172-31-25-216.us-east-2.compute.internal:17,ip-172-31-24-50.us-east-2.compute.internal:14,160,38,300,38,4,1,160,29
2019294-2019314-02e82754c1bd,ip-172-31-36-253.us-east-2.compute.internal:15,ip-172-31-28-203.us-east-2.compute.internal:16,200,12,440,12,10,2,200,29
2020169-2020189-e5154dfe1991,ip-172-31-43-239.us-east-2.compute.internal:16,ip-172-31-36-219.us-east-2.compute.internal:15,280,32,520,32,7,1,280,29
2010201-2010221-6e9cbf37db74,ip-172-31-26-77.us-east-2.compute.internal:17,ip-172-31-32-30.us-east-2.compute.internal:17,80,20,400,20,2,1,80,29
2020329-2020349-2b59eac26847,ip-172-31-42-229.us-east-2.compute.internal:15,ip-172-31-12-106.us-east-2.compute.internal:14,40,15,460,15,1,1,40,28
2014240-2014260-fd24423050f0,ip-172-31-36-59.us-east-2.compute.internal:17,ip-172-31-43-33.us-east-2.compute.internal:16,240,20,260,20,6,1,240,28
2024148-2024168-fea7c40c9a58,ip-172-31-10-143.us-east-2.compute.internal:15,ip-172-31-3-222.us-east-2.compute.internal:17,280,19,600,19,20,3,280,28
2018179-2018199-e5c48fb722c7,ip-172-31-20-204.us-east-2.compute.internal:14,ip-172-31-2-206.us-east-2.compute.internal:14,80,18,220,18,2,1,80,27
2020229-2020249-2e15659d2122,ip-172-31-22-139.us-east-2.compute.internal:14,ip-172-31-24-198.us-east-2.compute.internal:14,160,20,300,20,4,1,160,27
2022198-2022218-61b3a8ad7b58,ip-172-31-32-90.us-east-2.compute.internal:15,ip-172-31-26-239.us-east-2.compute.internal:17,680,39,720,39,17,1,680,27
2017144-2017164-ac11c3f51943,ip-172-31-18-122.us-east-2.compute.internal:14,ip-172-31-9-79.us-east-2.compute.internal:17,120,19,480,19,6,2,120,27
2022078-2022098-cc4f92b37f95,ip-172-31-26-239.us-east-2.compute.internal:17,ip-172-31-44-128.us-east-2.compute.internal:14,680,27,719,27,17,1,680,27
2016090-2016110-20e9de377bcc,ip-172-31-23-95.us-east-2.compute.internal:14,ip-172-31-2-59.us-east-2.compute.internal:14,120,20,220,20,3,1,120,26
2010361-2011016-83b820c1563b,ip-172-31-22-127.us-east-2.compute.internal:15,ip-172-31-35-198.us-east-2.compute.internal:15,40,20,420,20,1,1,40,25
2025082-2025102-405b397ccd88,ip-172-31-13-230.us-east-2.compute.internal:15,ip-172-31-20-47.us-east-2.compute.internal:15,280,22,520,22,7,1,280,25
2012331-2012351-36125602f9f8,ip-172-31-15-144.us-east-2.compute.internal:14,ip-172-31-28-239.us-east-2.compute.internal:14,200,20,240,20,5,1,200,25
2010141-2010161-0c92a8082328,ip-172-31-18-45.us-east-2.compute.internal:16,ip-172-31-29-32.us-east-2.compute.internal:16,440,26,720,26,25,3,440,25
